"bin" "n" "frac"
"[0,5)" 760619 0.0598283223317833
"[5,10)" 778102 0.0612034898720716
"[10,15)" 819148 0.0644320620197965
"[15,20)" 820889 0.0645690045747151
"[20,25)" 839063 0.0659985243869441
"[25,30)" 899609 0.0707609160756873
"[30,35)" 863001 0.0678814255240157
"[35,40)" 852109 0.0670246889885915
"[40,45)" 783889 0.0616586803173984
"[45,50)" 817167 0.0642762416859115
"[50,55)" 821687 0.0646317731897783
"[55,60)" 867530 0.0682376649445937
"[60,65)" 797586 0.0627360508944921
"[65,70)" 649574 0.0510938099762769
"[70,75)" 492679 0.0387528552640687
"[75,80)" 348421 0.0274058942718526
"[80,85)" 235613 0.0185327088983557
"[85,90]" 266674 0.0209758867836669
